Set,loss,Layer,Node,LR,Activation,loss_Func
1,0.4505351185798645,4,10,0.001,relu,mse
2,0.47548454999923706,4,10,0.001,relu,mae
3,0.4513697028160095,4,10,0.001,tanh,mse
4,0.48368602991104126,4,10,0.001,tanh,mae
5,0.4507048726081848,4,10,0.01,relu,mse
6,0.48408186435699463,4,10,0.01,relu,mae
7,0.45123550295829773,4,10,0.01,tanh,mse
8,0.48245370388031006,4,10,0.01,tanh,mae
9,0.450754314661026,3,10,0.001,relu,mse
10,0.4764915704727173,3,10,0.001,relu,mae
11,0.4522702097892761,3,10,0.001,tanh,mse
12,0.4826755225658417,3,10,0.001,tanh,mae
13,0.45079779624938965,3,10,0.01,relu,mse
14,0.47611168026924133,3,10,0.01,relu,mae
15,0.452423632144928,3,10,0.01,tanh,mse
16,0.4790315628051758,3,10,0.01,tanh,mae
17,0.38439667224884033,2,10,0.001,relu,mse
18,0.4684995412826538,2,10,0.001,relu,mae
19,0.45104607939720154,2,10,0.001,tanh,mse
20,0.4782670736312866,2,10,0.001,tanh,mae
21,0.3845342993736267,2,10,0.01,relu,mse
22,0.4683271646499634,2,10,0.01,relu,mae
23,0.4568919837474823,2,10,0.01,tanh,mse
24,0.4687322676181793,2,10,0.01,tanh,mae
25,0.37867242097854614,1,10,0.001,relu,mse
26,0.4608805775642395,1,10,0.001,relu,mae
27,0.4033442437648773,1,10,0.001,tanh,mse
28,0.4647543430328369,1,10,0.001,tanh,mae
29,0.3785656690597534,1,10,0.01,relu,mse
30,0.46248096227645874,1,10,0.01,relu,mae
31,0.42911094427108765,1,10,0.01,tanh,mse
32,0.4662785232067108,1,10,0.01,tanh,mae
33,0.3752329349517822,0,10,0.001,relu,mse
34,0.45652514696121216,0,10,0.001,relu,mae
35,0.6864272952079773,0,10,0.001,tanh,mse
36,0.4768475592136383,0,10,0.001,tanh,mae
37,0.36135345697402954,0,10,0.01,relu,mse
38,0.44954177737236023,0,10,0.01,relu,mae
39,0.6861364841461182,0,10,0.01,tanh,mse
40,0.4765421152114868,0,10,0.01,tanh,mae
41,0.4529098570346832,4,9,0.001,relu,mse
42,0.47571295499801636,4,9,0.001,relu,mae
43,0.4506753087043762,4,9,0.001,tanh,mse
44,0.48256346583366394,4,9,0.001,tanh,mae
45,0.45077449083328247,4,9,0.01,relu,mse
46,0.48442137241363525,4,9,0.01,relu,mae
47,0.45203113555908203,4,9,0.01,tanh,mse
48,0.4829927086830139,4,9,0.01,tanh,mae
49,0.4509469270706177,3,9,0.001,relu,mse
50,0.4796476662158966,3,9,0.001,relu,mae
51,0.4501645267009735,3,9,0.001,tanh,mse
52,0.4771786630153656,3,9,0.001,tanh,mae
53,0.45065125823020935,3,9,0.01,relu,mse
54,0.4776271879673004,3,9,0.01,relu,mae
55,0.451643705368042,3,9,0.01,tanh,mse
56,0.47688692808151245,3,9,0.01,tanh,mae
57,0.38456785678863525,2,9,0.001,relu,mse
58,0.4683975875377655,2,9,0.001,relu,mae
59,0.45106425881385803,2,9,0.001,tanh,mse
60,0.46961578726768494,2,9,0.001,tanh,mae
61,0.38434600830078125,2,9,0.01,relu,mse
62,0.4683854281902313,2,9,0.01,relu,mae
63,0.4512431025505066,2,9,0.01,tanh,mse
64,0.4703774154186249,2,9,0.01,tanh,mae
65,0.3788187503814697,1,9,0.001,relu,mse
66,0.46607649326324463,1,9,0.001,relu,mae
67,0.39132431149482727,1,9,0.001,tanh,mse
68,0.46813592314720154,1,9,0.001,tanh,mae
69,0.37696850299835205,1,9,0.01,relu,mse
70,0.4642240107059479,1,9,0.01,relu,mae
71,0.45149368047714233,1,9,0.01,tanh,mse
72,0.46720656752586365,1,9,0.01,tanh,mae
73,0.3542960286140442,0,9,0.001,relu,mse
74,0.45592549443244934,0,9,0.001,relu,mae
75,0.6846891045570374,0,9,0.001,tanh,mse
76,0.48104339838027954,0,9,0.001,tanh,mae
77,0.3544822037220001,0,9,0.01,relu,mse
78,0.4585074484348297,0,9,0.01,relu,mae
79,0.6984065175056458,0,9,0.01,tanh,mse
80,0.4815225899219513,0,9,0.01,tanh,mae
81,0.45290663838386536,4,8,0.001,relu,mse
82,0.47531622648239136,4,8,0.001,relu,mae
83,0.451079785823822,4,8,0.001,tanh,mse
84,0.47999000549316406,4,8,0.001,tanh,mae
85,0.45086196064949036,4,8,0.01,relu,mse
86,0.4760427474975586,4,8,0.01,relu,mae
87,0.4571002721786499,4,8,0.01,tanh,mse
88,0.48320403695106506,4,8,0.01,tanh,mae
89,0.4529179334640503,3,8,0.001,relu,mse
90,0.4759790301322937,3,8,0.001,relu,mae
91,0.45093655586242676,3,8,0.001,tanh,mse
92,0.4785514175891876,3,8,0.001,tanh,mae
93,0.4506080150604248,3,8,0.01,relu,mse
94,0.47873950004577637,3,8,0.01,relu,mae
95,0.45073482394218445,3,8,0.01,tanh,mse
96,0.485564649105072,3,8,0.01,tanh,mae
97,0.3840279281139374,2,8,0.001,relu,mse
98,0.46838244795799255,2,8,0.001,relu,mae
99,0.4338337182998657,2,8,0.001,tanh,mse
100,0.47302281856536865,2,8,0.001,tanh,mae
101,0.3845579922199249,2,8,0.01,relu,mse
102,0.46819987893104553,2,8,0.01,relu,mae
103,0.4508926272392273,2,8,0.01,tanh,mse
104,0.46881431341171265,2,8,0.01,tanh,mae
105,0.3782735764980316,1,8,0.001,relu,mse
106,0.46549952030181885,1,8,0.001,relu,mae
107,0.4084590673446655,1,8,0.001,tanh,mse
108,0.46759673953056335,1,8,0.001,tanh,mae
109,0.3786320388317108,1,8,0.01,relu,mse
110,0.4632912576198578,1,8,0.01,relu,mae
111,0.3877081573009491,1,8,0.01,tanh,mse
112,0.46899640560150146,1,8,0.01,tanh,mae
113,0.37860310077667236,0,8,0.001,relu,mse
114,0.4566839635372162,0,8,0.001,relu,mae
115,0.6998282670974731,0,8,0.001,tanh,mse
116,0.48204123973846436,0,8,0.001,tanh,mae
117,0.3781122863292694,0,8,0.01,relu,mse
118,0.45602813363075256,0,8,0.01,relu,mae
119,0.7129468321800232,0,8,0.01,tanh,mse
120,0.49105870723724365,0,8,0.01,tanh,mae
121,0.4507925510406494,4,7,0.001,relu,mse
122,0.4806445240974426,4,7,0.001,relu,mae
123,0.45202648639678955,4,7,0.001,tanh,mse
124,0.4823342263698578,4,7,0.001,tanh,mae
125,0.4505555331707001,4,7,0.01,relu,mse
126,0.47794637084007263,4,7,0.01,relu,mae
127,0.4572543203830719,4,7,0.01,tanh,mse
128,0.4853934347629547,4,7,0.01,tanh,mae
129,0.45252183079719543,3,7,0.001,relu,mse
130,0.47642260789871216,3,7,0.001,relu,mae
131,0.4517745077610016,3,7,0.001,tanh,mse
132,0.4840118885040283,3,7,0.001,tanh,mae
133,0.4525108337402344,3,7,0.01,relu,mse
134,0.48475468158721924,3,7,0.01,relu,mae
135,0.4564674496650696,3,7,0.01,tanh,mse
136,0.4845152199268341,3,7,0.01,tanh,mae
137,0.45081979036331177,2,7,0.001,relu,mse
138,0.4788025915622711,2,7,0.001,relu,mae
139,0.4514041841030121,2,7,0.001,tanh,mse
140,0.48510077595710754,2,7,0.001,tanh,mae
141,0.4512971043586731,2,7,0.01,relu,mse
142,0.4841923117637634,2,7,0.01,relu,mae
143,0.4528166651725769,2,7,0.01,tanh,mse
144,0.48347437381744385,2,7,0.01,tanh,mae
145,0.38427433371543884,1,7,0.001,relu,mse
146,0.4659203588962555,1,7,0.001,relu,mae
147,0.4527721405029297,1,7,0.001,tanh,mse
148,0.4695970118045807,1,7,0.001,tanh,mae
149,0.37872862815856934,1,7,0.01,relu,mse
150,0.4654139280319214,1,7,0.01,relu,mae
151,0.45375221967697144,1,7,0.01,tanh,mse
152,0.46990132331848145,1,7,0.01,tanh,mae
153,0.3691023588180542,0,7,0.001,relu,mse
154,0.4737508296966553,0,7,0.001,relu,mae
155,0.7166420221328735,0,7,0.001,tanh,mse
156,0.49151286482810974,0,7,0.001,tanh,mae
157,0.3787216246128082,0,7,0.01,relu,mse
158,0.46096885204315186,0,7,0.01,relu,mae
159,0.715969443321228,0,7,0.01,tanh,mse
160,0.48583775758743286,0,7,0.01,tanh,mae
161,0.4512571394443512,4,6,0.001,relu,mse
162,0.4781971871852875,4,6,0.001,relu,mae
163,0.4530125558376312,4,6,0.001,tanh,mse
164,0.48128846287727356,4,6,0.001,tanh,mae
165,0.45137619972229004,4,6,0.01,relu,mse
166,0.48817577958106995,4,6,0.01,relu,mae
167,0.45282185077667236,4,6,0.01,tanh,mse
168,0.48547759652137756,4,6,0.01,tanh,mae
169,0.45093604922294617,3,6,0.001,relu,mse
170,0.4809735119342804,3,6,0.001,relu,mae
171,0.45283085107803345,3,6,0.001,tanh,mse
172,0.4822058379650116,3,6,0.001,tanh,mae
173,0.4514233469963074,3,6,0.01,relu,mse
174,0.47897282242774963,3,6,0.01,relu,mae
175,0.45262405276298523,3,6,0.01,tanh,mse
176,0.4853994846343994,3,6,0.01,tanh,mae
177,0.45265403389930725,2,6,0.001,relu,mse
178,0.4791819453239441,2,6,0.001,relu,mae
179,0.45621779561042786,2,6,0.001,tanh,mse
180,0.4836925268173218,2,6,0.001,tanh,mae
181,0.4505501687526703,2,6,0.01,relu,mse
182,0.48065054416656494,2,6,0.01,relu,mae
183,0.45185938477516174,2,6,0.01,tanh,mse
184,0.4834371507167816,2,6,0.01,tanh,mae
185,0.37871208786964417,1,6,0.001,relu,mse
186,0.47590172290802,1,6,0.001,relu,mae
187,0.4555666446685791,1,6,0.001,tanh,mse
188,0.48477694392204285,1,6,0.001,tanh,mae
189,0.4452452063560486,1,6,0.01,relu,mse
190,0.4659121334552765,1,6,0.01,relu,mae
191,0.452574223279953,1,6,0.01,tanh,mse
192,0.4724026620388031,1,6,0.01,tanh,mae
193,0.35897570848464966,0,6,0.001,relu,mse
194,0.47360315918922424,0,6,0.001,relu,mae
195,0.7446509599685669,0,6,0.001,tanh,mse
196,0.4960853159427643,0,6,0.001,tanh,mae
197,0.3768986761569977,0,6,0.01,relu,mse
198,0.4631035327911377,0,6,0.01,relu,mae
199,0.7359856367111206,0,6,0.01,tanh,mse
200,0.48660412430763245,0,6,0.01,tanh,mae
201,0.4507097899913788,4,5,0.001,relu,mse
202,0.48111671209335327,4,5,0.001,relu,mae
203,0.45718905329704285,4,5,0.001,tanh,mse
204,0.4841393232345581,4,5,0.001,tanh,mae
205,0.45273125171661377,4,5,0.01,relu,mse
206,0.48141273856163025,4,5,0.01,relu,mae
207,0.4562997817993164,4,5,0.01,tanh,mse
208,0.4851974546909332,4,5,0.01,tanh,mae
209,0.452907919883728,3,5,0.001,relu,mse
210,0.47978663444519043,3,5,0.001,relu,mae
211,0.45650386810302734,3,5,0.001,tanh,mse
212,0.4852769076824188,3,5,0.001,tanh,mae
213,0.45259612798690796,3,5,0.01,relu,mse
214,0.47875556349754333,3,5,0.01,relu,mae
215,0.45685750246047974,3,5,0.01,tanh,mse
216,0.4844711422920227,3,5,0.01,tanh,mae
217,0.4525730013847351,2,5,0.001,relu,mse
218,0.47897446155548096,2,5,0.001,relu,mae
219,0.4519044756889343,2,5,0.001,tanh,mse
220,0.4848562180995941,2,5,0.001,tanh,mae
221,0.45266932249069214,2,5,0.01,relu,mse
222,0.4795101583003998,2,5,0.01,relu,mae
223,0.4570895731449127,2,5,0.01,tanh,mse
224,0.4825477600097656,2,5,0.01,tanh,mae
225,0.38441696763038635,1,5,0.001,relu,mse
226,0.4841977655887604,1,5,0.001,relu,mae
227,0.4583895802497864,1,5,0.001,tanh,mse
228,0.4796717166900635,1,5,0.001,tanh,mae
229,0.45299479365348816,1,5,0.01,relu,mse
230,0.46832430362701416,1,5,0.01,relu,mae
231,0.45725172758102417,1,5,0.01,tanh,mse
232,0.4754503667354584,1,5,0.01,tanh,mae
233,0.3611086308956146,0,5,0.001,relu,mse
234,0.46347007155418396,0,5,0.001,relu,mae
235,0.7643884420394897,0,5,0.001,tanh,mse
236,0.4962705373764038,0,5,0.001,tanh,mae
237,0.3786161541938782,0,5,0.01,relu,mse
238,0.4631997346878052,0,5,0.01,relu,mae
239,0.7643252611160278,0,5,0.01,tanh,mse
240,0.4964393377304077,0,5,0.01,tanh,mae
241,0.45266208052635193,4,4,0.001,relu,mse
242,0.48099297285079956,4,4,0.001,relu,mae
243,0.8853434920310974,4,4,0.001,tanh,mse
244,0.4870992600917816,4,4,0.001,tanh,mae
245,0.45080482959747314,4,4,0.01,relu,mse
246,0.4810173809528351,4,4,0.01,relu,mae
247,0.4564947187900543,4,4,0.01,tanh,mse
248,0.4873824417591095,4,4,0.01,tanh,mae
249,0.45265960693359375,3,4,0.001,relu,mse
250,0.4807082712650299,3,4,0.001,relu,mae
251,0.4564894139766693,3,4,0.001,tanh,mse
252,0.48524948954582214,3,4,0.001,tanh,mae
253,0.4526486098766327,3,4,0.01,relu,mse
254,0.48082149028778076,3,4,0.01,relu,mae
255,0.457053005695343,3,4,0.01,tanh,mse
256,0.48630890250205994,3,4,0.01,tanh,mae
257,0.45260196924209595,2,4,0.001,relu,mse
258,0.4797685742378235,2,4,0.001,relu,mae
259,0.45683419704437256,2,4,0.001,tanh,mse
260,0.48552781343460083,2,4,0.001,tanh,mae
261,0.4529334604740143,2,4,0.01,relu,mse
262,0.48127737641334534,2,4,0.01,relu,mae
263,0.45398300886154175,2,4,0.01,tanh,mse
264,0.4842003583908081,2,4,0.01,tanh,mae
265,0.38406533002853394,1,4,0.001,relu,mse
266,0.4683719277381897,1,4,0.001,relu,mae
267,0.46269240975379944,1,4,0.001,tanh,mse
268,0.4875527620315552,1,4,0.001,tanh,mae
269,0.44678959250450134,1,4,0.01,relu,mse
270,0.4840245544910431,1,4,0.01,relu,mae
271,0.4662728011608124,1,4,0.01,tanh,mse
272,0.4880560636520386,1,4,0.01,tanh,mae
273,0.38423049449920654,0,4,0.001,relu,mse
274,0.46313971281051636,0,4,0.001,relu,mae
275,0.7821077704429626,0,4,0.001,tanh,mse
276,0.4910350739955902,0,4,0.001,tanh,mae
277,0.3842964172363281,0,4,0.01,relu,mse
278,0.4758785367012024,0,4,0.01,relu,mae
279,0.7856289148330688,0,4,0.01,tanh,mse
280,0.4979041814804077,0,4,0.01,tanh,mae
281,0.4529438018798828,4,3,0.001,relu,mse
282,0.481073260307312,4,3,0.001,relu,mae
283,0.5165606141090393,4,3,0.001,tanh,mse
284,0.4923437833786011,4,3,0.001,tanh,mae
285,0.45276251435279846,4,3,0.01,relu,mse
286,0.48107051849365234,4,3,0.01,relu,mae
287,0.5373393297195435,4,3,0.01,tanh,mse
288,0.4894798696041107,4,3,0.01,tanh,mae
289,0.4526907801628113,3,3,0.001,relu,mse
290,0.4809095859527588,3,3,0.001,relu,mae
291,0.528124988079071,3,3,0.001,tanh,mse
292,0.492360383272171,3,3,0.001,tanh,mae
293,0.6068857908248901,3,3,0.01,relu,mse
294,0.48113083839416504,3,3,0.01,relu,mae
295,0.5557811260223389,3,3,0.01,tanh,mse
296,0.49018916487693787,3,3,0.01,tanh,mae
297,0.4524109959602356,2,3,0.001,relu,mse
298,0.48131686449050903,2,3,0.001,relu,mae
299,0.5364556312561035,2,3,0.001,tanh,mse
300,0.4924143850803375,2,3,0.001,tanh,mae
301,0.6143989562988281,2,3,0.01,relu,mse
302,0.4800664186477661,2,3,0.01,relu,mae
303,0.5271425843238831,2,3,0.01,tanh,mse
304,0.49096357822418213,2,3,0.01,tanh,mae
305,0.4531589150428772,1,3,0.001,relu,mse
306,0.48102474212646484,1,3,0.001,relu,mae
307,0.506471574306488,1,3,0.001,tanh,mse
308,0.49115946888923645,1,3,0.001,tanh,mae
309,0.4520238935947418,1,3,0.01,relu,mse
310,0.49371036887168884,1,3,0.01,relu,mae
311,0.5659306645393372,1,3,0.01,tanh,mse
312,0.4920436143875122,1,3,0.01,tanh,mae
313,0.3841857612133026,0,3,0.001,relu,mse
314,0.4764639139175415,0,3,0.001,relu,mae
315,0.8097831010818481,0,3,0.001,tanh,mse
316,0.49963247776031494,0,3,0.001,tanh,mae
317,0.4454461336135864,0,3,0.01,relu,mse
318,0.4759443402290344,0,3,0.01,relu,mae
319,0.8105470538139343,0,3,0.01,tanh,mse
320,0.5002157092094421,0,3,0.01,tanh,mae
321,0.6482499837875366,4,2,0.001,relu,mse
322,0.48131775856018066,4,2,0.001,relu,mae
323,0.5424617528915405,4,2,0.001,tanh,mse
324,0.4939531087875366,4,2,0.001,tanh,mae
325,0.4507755637168884,4,2,0.01,relu,mse
326,0.48118141293525696,4,2,0.01,relu,mae
327,0.5917370319366455,4,2,0.01,tanh,mse
328,0.493521511554718,4,2,0.01,tanh,mae
329,0.45291998982429504,3,2,0.001,relu,mse
330,0.48135921359062195,3,2,0.001,relu,mae
331,0.6111993193626404,3,2,0.001,tanh,mse
332,0.4944896996021271,3,2,0.001,tanh,mae
333,0.4523765444755554,3,2,0.01,relu,mse
334,0.48121222853660583,3,2,0.01,relu,mae
335,0.6176149845123291,3,2,0.01,tanh,mse
336,0.4941663444042206,3,2,0.01,tanh,mae
337,0.4526258409023285,2,2,0.001,relu,mse
338,0.49418190121650696,2,2,0.001,relu,mae
339,0.5788465738296509,2,2,0.001,tanh,mse
340,0.49393635988235474,2,2,0.001,tanh,mae
341,0.45335960388183594,2,2,0.01,relu,mse
342,0.4814424216747284,2,2,0.01,relu,mae
343,0.5700765252113342,2,2,0.01,tanh,mse
344,0.49432867765426636,2,2,0.01,tanh,mae
345,0.4522254467010498,1,2,0.001,relu,mse
346,0.4944986402988434,1,2,0.001,relu,mae
347,0.5443141460418701,1,2,0.001,tanh,mse
348,0.4930552542209625,1,2,0.001,tanh,mae
349,0.45251694321632385,1,2,0.01,relu,mse
350,0.49478384852409363,1,2,0.01,relu,mae
351,0.5438568592071533,1,2,0.01,tanh,mse
352,0.4915802776813507,1,2,0.01,tanh,mae
353,0.4466685950756073,0,2,0.001,relu,mse
354,0.4813523590564728,0,2,0.001,relu,mae
355,0.8375949859619141,0,2,0.001,tanh,mse
356,0.5028030872344971,0,2,0.001,tanh,mae
357,0.4525512456893921,0,2,0.01,relu,mse
358,0.46830040216445923,0,2,0.01,relu,mae
359,0.8373622298240662,0,2,0.01,tanh,mse
360,0.5023863315582275,0,2,0.01,tanh,mae
361,0.912139356136322,4,1,0.001,relu,mse
362,0.5076658725738525,4,1,0.001,relu,mae
363,0.8702483177185059,4,1,0.001,tanh,mse
364,0.5061447024345398,4,1,0.001,tanh,mae
365,0.9121394157409668,4,1,0.01,relu,mse
366,0.510154664516449,4,1,0.01,relu,mae
367,0.8725041747093201,4,1,0.01,tanh,mse
368,0.5061154365539551,4,1,0.01,tanh,mae
369,0.45253831148147583,3,1,0.001,relu,mse
370,0.4814838469028473,3,1,0.001,relu,mae
371,0.8724578619003296,3,1,0.001,tanh,mse
372,0.506110429763794,3,1,0.001,tanh,mae
373,0.4526655673980713,3,1,0.01,relu,mse
374,0.48152676224708557,3,1,0.01,relu,mae
375,0.8719883561134338,3,1,0.01,tanh,mse
376,0.5061229467391968,3,1,0.01,tanh,mae
377,0.9121395349502563,2,1,0.001,relu,mse
378,0.5070304870605469,2,1,0.001,relu,mae
379,0.8704087734222412,2,1,0.001,tanh,mse
380,0.5061274170875549,2,1,0.001,tanh,mae
381,0.45284295082092285,2,1,0.01,relu,mse
382,0.5101546049118042,2,1,0.01,relu,mae
383,0.8704512715339661,2,1,0.01,tanh,mse
384,0.5061107873916626,2,1,0.01,tanh,mae
385,0.912139356136322,1,1,0.001,relu,mse
386,0.5076149106025696,1,1,0.001,relu,mae
387,0.8703130483627319,1,1,0.001,tanh,mse
388,0.5061285495758057,1,1,0.001,tanh,mae
389,0.9121394157409668,1,1,0.01,relu,mse
390,0.5101547241210938,1,1,0.01,relu,mae
391,0.8700231313705444,1,1,0.01,tanh,mse
392,0.506102979183197,1,1,0.01,tanh,mae
393,0.9121392965316772,0,1,0.001,relu,mse
394,0.4814394414424896,0,1,0.001,relu,mae
395,0.8702985644340515,0,1,0.001,tanh,mse
396,0.5061066150665283,0,1,0.001,tanh,mae
397,0.912139356136322,0,1,0.01,relu,mse
398,0.5076653957366943,0,1,0.01,relu,mae
399,0.8701524138450623,0,1,0.01,tanh,mse
400,0.5061010718345642,0,1,0.01,tanh,mae
